id,deskripsi_pengguna,label_rekomendasi,preprocessed
58,"Saya ingin laptop yang cocok untuk mengelola bisnis, membuat laporan keuangan, dan menganalisis data.""",workstation,laptop cocok mengelola bisnis laporan keuangan menganalisis data
59,"Saya membutuhkan laptop yang ringan untuk kerja kantoran, browsing internet, dan desain grafis",office,membutuhkan laptop ringan kerja kantoran browsing internet desain grafis
60,Saya membutuhkan laptop gaming yang kuat dengan kartu grafis khusus.,gaming,membutuhkan laptop gaming kuat kartu grafis khusus
61,ingin laptop murah untuk mengetik dan menonton film,office,laptop murah mengetik menonton film
62,membutuhkan laptop untuk programming dan aplikasi berat lainnya,programming,membutuhkan laptop programming aplikasi berat
63,memerlukan laptop yang ringan dan tipis untuk dibawa ke kampus.,office,laptop ringan tipis dibawa kampus
64,"Saya membutuhkan laptop yang dapat digunakan untuk bermain Valorant dan FIFA,",gaming,membutuhkan laptop bermain valorant fifa
65,Saya juga ingin laptop yang dapat digunakan untuk skripsi dan mengolah data Excel.,office,laptop skripsi mengolah data excel
66,Cari laptop yang cocok untuk desain UI/UX dan edit gambar.,multimedia,cari laptop cocok desain uiux edit gambar
67,Saya ingin laptop yang dapat digunakan untuk bermain game berat.,gaming,laptop bermain game berat
68,Saya membutuhkan laptop untuk bermain game berat.,gaming,membutuhkan laptop bermain game berat
69,memerlukan perangkat yang sesuai untuk desain dan editing video,multimedia,perangkat sesuai desain editing video
70,"Saya butuh laptop yang ringan dan ringkas untuk mobilitas tinggi, ideal untuk mengetik dokumen dan browsing.",office,butuh laptop ringan ringkas mobilitas ideal mengetik dokumen browsing
71,Saya mencari laptop yang bisa menjalankan Microsoft Office dan aplikasi administrasi tanpa hambatan.,office,mencari laptop menjalankan microsoft office aplikasi administrasi hambatan
72,Saya butuh laptop dengan baterai tahan lama untuk kerja seharian tanpa harus sering ngecas.,office,butuh laptop baterai tahan kerja seharian ngecas
73,Saya ingin laptop yang cocok untuk rapat daring lewat Zoom dan Google Meet dengan kamera dan mikrofon yang bagus.,office,laptop cocok rapat daring zoom google meet kamera mikrofon bagus
74,Saya butuh laptop yang mampu membuka banyak tab browser dan Excel tanpa lemot.,office,butuh laptop membuka tab browser excel lemot
75,Saya mencari laptop dengan layar nyaman untuk membaca dan menulis dokumen panjang.,office,mencari laptop layar nyaman membaca menulis dokumen
76,Saya ingin keyboard yang enak buat mengetik cepat dan nyaman untuk jari.,office,keyboard enak mengetik cepat nyaman jari
77,Saya memerlukan laptop yang bisa dibawa ke kantor dengan mudah dan tidak berat.,office,laptop dibawa kantor mudah berat
78,Saya butuh laptop yang bisa dihubungkan ke printer dan proyektor untuk kerja presentasi.,office,butuh laptop dihubungkan printer proyektor kerja presentasi
79,Saya cari laptop murah tapi cukup mumpuni untuk tugas kantor harian.,office,cari laptop murah mumpuni tugas kantor harian
80,Saya suka desain laptop gaming yang keren dan kuat.,gaming,suka desain laptop gaming keren kuat
81,"Saya ingin laptop yang ringan dan stylish, cocok dibawa buat kerja kreatif di luar.",workstation,laptop ringan stylish cocok dibawa kerja kreatif
82,Saya butuh laptop layar lebar agar lebih leluasa waktu edit video atau gambar.,multimedia,butuh laptop layar lebar leluasa edit video gambar
83,Saya butuh laptop dengan port lengkap untuk transfer file dari kamera dan card reader.,workstation,butuh laptop port lengkap transfer file kamera card reader
84,Saya butuh laptop yang bisa menjalankan IDE seperti VS Code dan Android Studio dengan lancar,programming,butuh laptop menjalankan ide vs code android studio lancar
85,"Saya ingin laptop yang bisa multitasking, buka banyak tab coding dan browser sekaligus.",programming,laptop multitasking buka tab coding browser
86,Saya cari laptop dengan prosesor cepat agar compile code tidak makan waktu lama.,programming,cari laptop prosesor cepat compile code makan
87,Saya butuh RAM minimal 16GB buat kerja programming dan jalanin emulator.,programming,butuh ram minimal 16gb kerja programming jalanin emulator
88,Saya ingin keyboard yang nyaman dan backlit biar bisa kerja malam hari.,office,keyboard nyaman backlit biar kerja malam
89,Saya butuh laptop yang bisa dihubungkan ke dua monitor tambahan.,workstation,butuh laptop dihubungkan monitor tambahan
90,Saya cari laptop dengan baterai awet untuk coding di luar ruangan.,programming,cari laptop baterai awet coding ruangan
91,Saya ingin laptop dengan SSD supaya booting dan load project cepat.,programming,laptop ssd booting load project cepat
92,Saya butuh laptop yang bisa diinstal Linux buat pengembangan software.,programming,butuh laptop diinstal linux pengembangan software
93,Saya mahasiswa TI yang butuh laptop tangguh untuk belajar dan bikin aplikasi.,programming,mahasiswa ti butuh laptop tangguh belajar bikin aplikasi
94,Saya butuh laptop yang bisa menjalankan software berat seperti AutoCAD dan Revit tanpa lag.,workstation,butuh laptop menjalankan software berat autocad revit lag
95,Saya cari laptop dengan GPU profesional untuk keperluan desain teknik.,workstation,cari laptop gpu profesional keperluan desain teknik
96,Saya ingin prosesor workstation yang kuat buat kerja modeling dan simulasi.,workstation,prosesor workstation kuat kerja modeling simulasi
97,Saya butuh RAM besar minimal 32GB untuk multitasking berat.,workstation,butuh ram minimal 32gb multitasking berat
98,Saya ingin laptop yang aman dengan fitur fingerprint dan enkripsi data.,workstation,laptop aman fitur fingerprint enkripsi data
99,Saya butuh port lengkap termasuk LAN dan Thunderbolt untuk kerja profesional.,workstation,butuh port lengkap lan thunderbolt kerja profesional
100,Saya kerja dengan file besar seperti proyek arsitektur dan butuh laptop yang sanggup.,workstation,kerja file proyek arsitektur butuh laptop sanggup
101,Saya cari laptop dengan layar resolusi tinggi untuk keperluan desain.,multimedia,cari laptop layar resolusi keperluan desain
102,Saya ingin laptop dengan build quality tangguh untuk kerja lapangan.,workstation,laptop build quality tangguh kerja lapangan
103,Saya butuh laptop profesional untuk kerja enterprise dan proyek engineering.,workstation,butuh laptop profesional kerja enterprise proyek engineering
104,"Saya membutuhkan laptop untuk mengerjakan tugas kantor seperti membuat laporan, presentasi, dan mengelola data Excel.",office,membutuhkan laptop tugas kantor laporan presentasi mengelola data excel
105,"Laptop yang saya cari digunakan untuk mengetik dokumen, membuat surat, dan menjalankan Microsoft Office.",office,laptop cari mengetik dokumen surat menjalankan microsoft office
106,Saya ingin laptop yang ringan dan hemat daya untuk keperluan kerja administratif sehari-hari.,office,laptop ringan hemat daya keperluan kerja administratif seharihari
107,"Butuh laptop yang bisa digunakan untuk menulis, membuat presentasi PowerPoint, dan membuka beberapa tab browser.",office,butuh laptop menulis presentasi powerpoint membuka tab browser
108,"Laptop digunakan untuk keperluan rapat online, mengetik laporan, serta mengelola file dokumen.",office,laptop keperluan rapat online mengetik laporan mengelola file dokumen
109,"Saya memerlukan laptop yang bisa menjalankan aplikasi Office seperti Word, Excel, dan Outlook dengan lancar.",office,laptop menjalankan aplikasi office word excel outlook lancar
110,"Laptop digunakan untuk pekerjaan kantor jarak jauh, seperti membuat dokumen, mengedit file PDF, dan mengirim email.",office,laptop pekerjaan kantor jarak dokumen mengedit file pdf mengirim email
111,"Saya ingin laptop dengan performa stabil untuk aktivitas administrasi, browsing, dan komunikasi melalui video call.",office,laptop performa stabil aktivitas administrasi browsing komunikasi video call
112,"Butuh laptop untuk penggunaan dasar seperti mengetik, membuat tabel data, dan mengakses aplikasi berbasis web.",office,butuh laptop penggunaan dasar mengetik tabel data mengakses aplikasi berbasis web
113,"Laptop digunakan untuk kegiatan perkantoran ringan, menyusun laporan keuangan, dan mengikuti meeting online.",office,laptop kegiatan perkantoran ringan menyusun laporan keuangan mengikuti meeting online
114,Laptop digunakan untuk proyek pengembangan web full stack dengan Node.js dan React.,programming,laptop proyek pengembangan web full stack nodejs react
115,Saya mencari laptop untuk menulis skrip automasi dan memproses data menggunakan Python.,programming,mencari laptop menulis skrip automasi memproses data python
116,Butuh laptop yang bisa digunakan untuk coding dan belajar pengembangan game sederhana.,programming,butuh laptop coding belajar pengembangan game sederhana
117,Saya membutuhkan laptop untuk mengembangkan aplikasi desktop berbasis Java.,programming,membutuhkan laptop mengembangkan aplikasi desktop berbasis java
118,Laptop digunakan untuk mengerjakan proyek software engineering dan testing aplikasi.,programming,laptop proyek software engineering testing aplikasi
119,Saya mencari laptop yang mendukung virtual machine untuk belajar cloud computing dan DevOps.,programming,mencari laptop mendukung virtual machine belajar cloud computing devops
120,Butuh laptop untuk menjalankan lingkungan pengembangan seperti Jupyter Notebook dan TensorFlow.,programming,butuh laptop menjalankan lingkungan pengembangan jupyter notebook tensorflow
121,Saya memerlukan laptop untuk membuat dan menjalankan program simulasi sederhana menggunakan bahasa pemrograman.,programming,laptop menjalankan program simulasi sederhana bahasa pemrograman
122,Saya membutuhkan laptop dengan performa tinggi untuk menjalankan software desain 3D seperti AutoCAD dan SolidWorks.,workstation,membutuhkan laptop performa menjalankan software desain 3d autocad solidworks
123,Laptop digunakan untuk melakukan simulasi teknik yang membutuhkan prosesor dan RAM besar.,workstation,laptop simulasi teknik membutuhkan prosesor ram
124,Saya mencari laptop yang mampu menjalankan aplikasi pemodelan dan rendering 3D tanpa lag.,workstation,mencari laptop menjalankan aplikasi pemodelan rendering 3d lag
125,Butuh laptop workstation untuk melakukan analisis data besar menggunakan MATLAB dan Python.,workstation,butuh laptop workstation analisis data matlab python
126,Saya memerlukan laptop yang kuat untuk menjalankan software desain arsitektur seperti Revit dan SketchUp.,workstation,laptop kuat menjalankan software desain arsitektur revit sketchup
127,Laptop digunakan untuk pekerjaan profesional yang membutuhkan GPU kuat seperti rendering video 4K dan simulasi.,workstation,laptop pekerjaan profesional membutuhkan gpu kuat rendering video 4k simulasi
128,Saya ingin laptop dengan spesifikasi tinggi untuk menjalankan beberapa software desain secara bersamaan.,workstation,laptop spesifikasi menjalankan software desain bersamaan
129,"Butuh laptop yang dapat menangani multitasking berat seperti desain grafis, simulasi, dan virtualisasi.",workstation,butuh laptop menangani multitasking berat desain grafis simulasi virtualisasi
130,Saya membutuhkan laptop untuk membuat model 3D dan melakukan rendering animasi kompleks.,workstation,membutuhkan laptop model 3d rendering animasi kompleks
131,Laptop digunakan untuk pekerjaan CAD/CAM yang membutuhkan akurasi dan performa tinggi.,workstation,laptop pekerjaan cadcam membutuhkan akurasi performa
132,Saya mencari laptop workstation untuk mendukung pekerjaan desain mesin dan arsitektur.,workstation,mencari laptop workstation mendukung pekerjaan desain mesin arsitektur
133,Butuh laptop yang kuat untuk komputasi ilmiah dan perhitungan numerik intensif.,workstation,butuh laptop kuat komputasi ilmiah perhitungan numerik intensif
134,"Saya memerlukan laptop untuk menjalankan software analisis data besar seperti SPSS, R, dan Tableau.",workstation,laptop menjalankan software analisis data spss r tableau
135,Laptop digunakan untuk pekerjaan desain produk dan simulasi mekanika fluida.,workstation,laptop pekerjaan desain produk simulasi mekanika fluida
136,Saya membutuhkan laptop workstation dengan kartu grafis profesional seperti NVIDIA Quadro.,workstation,membutuhkan laptop workstation kartu grafis profesional nvidia quadro
137,Butuh laptop yang dapat menjalankan rendering 3D dan editing CAD tanpa mengalami penurunan performa.,workstation,butuh laptop menjalankan rendering 3d editing cad mengalami penurunan performa
138,Saya mencari laptop untuk pekerjaan teknik sipil dan analisis struktur menggunakan software khusus.,workstation,mencari laptop pekerjaan teknik sipil analisis struktur software khusus
139,Laptop digunakan untuk pemrosesan visualisasi data kompleks dan pembuatan model simulasi.,workstation,laptop pemrosesan visualisasi data kompleks pembuatan model simulasi
140,Saya membutuhkan laptop dengan kapasitas penyimpanan besar untuk menyimpan file desain berukuran besar.,workstation,membutuhkan laptop kapasitas penyimpanan menyimpan file desain berukuran
141,"Butuh laptop yang stabil untuk komputasi berat di bidang teknik, arsitektur, dan analisis ilmiah.",workstation,butuh laptop stabil komputasi berat bidang teknik arsitektur analisis ilmiah
